RR#,Callsign,Output (MHz),Offset (MHz),Tone (Hz),RepeaterBook ID,Location,Mode,Group,Website,RepeaterBook State ID,Latitude,Longitude
14,WA7DEM,443.725,5.0,156.7,,"Mountlake Terrace, WA",NBFM,Snohomish County Auxiliary Communications Service,https://wa7dem.info,,47.7976,-122.3124
15,WA7DEM,444.025,5.0,156.7,,"Edmonds, WA",NBFM,Snohomish County Auxiliary Communications Service,https://wa7dem.info,,47.8035,-122.3346
16,WA7DEM,444.200,5.0,156.7,,"Marysville, WA",NBFM,Snohomish County Auxiliary Communications Service,https://wa7dem.info,,48.122528,-122.24338
17,WA7DEM,444.300,5.0,156.7,,"Darrington, WA",NBFM,Snohomish County Auxiliary Communications Service,https://wa7dem.info,,48.24944,-122.56916
18,W7MIR,147.160,0.6,146.2,,"Mercer Island, WA",FM,Mercer Island Radio Operators,https://miro.cmivolunteers.org/,,47.56838,-122.22078
19,W7MIR,440.150,5.0,103.5,,"Mercer Island, WA",FM,Mercer Island Radio Operators,https://miro.cmivolunteers.org/,,47.56838,-122.22078
20,W7DG,147.100,0.6,114.8,,"Longview, WA",FM,Lower Columbia Amateur Radio Association,http://w7dg.org,,46.1828,-122.9578
21,W7DG,147.300,0.6,114.8,,"Woodland, WA",FM,Lower Columbia Amateur Radio Association,http://w7dg.org,,45.97,-122.67
22,W7DG,224.140,-1.6,114.8,,"Longview, WA",FM,N3EG,http://www.w7dg.org,,46.1828,-122.9578
23,W7DG,444.900,5.0,114.8,,"Longview, WA",FM,Lower Columbia Amateur Radio Association,http://w7dg.org,,46.1828,-122.9578
24,K6RFK,147.340,0.6,100,,"Woodinville, WA",FM,K6RFK's repeater system,https://www.qrz.com/db/K6RFK,,47.7253,-122.1189
25,K6RFK,442.775,5.0,100,,"Woodinville, WA",FM,K6RFK's repeater system,https://www.qrz.com/db/K6RFK,,47.7433,-122.1259
26,W7AAO,145.370,-0.6,136.5,,"Enumclaw, WA",FM,Pierce County ARES,http://www.piercecountyares.net,,47.20387,-122.79564
27,W7AAO,146.640,-0.6,103.5,,"Edgewood, WA",FM,Pierce County DEM,http://piercecountyares.net,,47.2136,-122.2653
28,W7AAO,927.850,-25.0,114.8,,"Buckley, WA",FM,District 5 ARES,http://www.piercecountyares.net,,47.1167,-121.8925
29,WA7FW,146.760,-0.6,103.5,,"Federal Way, WA",FM,Federal Way Amateur Radio Club,https://fwarc.org/repeaters,,47.28,-122.29
30,WA7FW,147.040,0.6,103.5,,"Federal Way, WA",FM,Federal Way Amateur Radio Club,https://fwarc.org/repeaters,,47.324663,-122.32604
31,WA7FW,442.925,5.0,,,"Federal Way, WA",FM,Federal Way Amateur Radio Club,https://fwarc.org/repeaters,,47.32,-122.33
32,WA7FW,442.950,5.0,103.5,,"Federal Way, WA",FM,Federal Way Amateur Radio Club,https://fwarc.org/repeaters,,47.32,-122.33
33,KC7EQO,442.100,5.0,100,,"Blyn, WA",FM,Matt KC7EQO's repeater system,https://www.qrz.com/db/KC7EQO/R,,48.00666,-122.97267
34,KC7Z,146.620,-0.6,103.5,,"Gold Mtn, WA",FM,Kitsap County Amateur Radio Club,https://kcarc.org/,,47.54788,-122.8073
35,KC7Z,442.650,5.0,103.5,,"Gold Mtn, WA",NBFM,Kitsap County Amateur Radio Club,https://kcarc.org/,,47.54788,-122.8073
36,KC7Z,444.075,5.0,103.5,,"Bremerton, WA",NBFM,Kitsap County Amateur Radio Club,https://kcarc.org/,,47.60212,-122.61746
37,K7NWS,145.330,-0.6,179.9,,"Tiger Mtn West, WA",FM,Boeing Employees Amateur Radio Society,https://sites.google.com/site/k7nwsbears/,,47.50875,-121.98519
38,K7NWS,224.340,-1.6,110.9,,"Tiger Mtn West, WA",FM,Boeing Employees Amateur Radio Society,https://sites.google.com/site/k7nwsbears/,,47.50875,-121.98519
39,K7NWS,442.075,5.0,110.9,,"Tiger Mtn West, WA",FM,Boeing Employees Amateur Radio Society,https://sites.google.com/site/k7nwsbears/,,47.51,-121.99
40,K7CH,53.030,-1.7,114.8,,"Baw Faw Peak, WA",FM,Carl K7CH's repeater system,https://www.qrz.com/db/k7ch,,46.4882,-123.2148
42,K7CH,927.250,-25.0,114.8,,"South Mtn, WA",FM,K7CH,,,47.3203,-122.3386
43,K7CH,927.925,-25.0,114.8,,"Chehalis, WA",FM,K7CH,,,46.4882,-123.2148
44,N9VW,443.325,5.0,103.5,,Cougar Mtn.,FM,Steve N9VW's repeater system,https://www.qrz.com/db/n9vw,,47.5421,-122.10917
45,KC7RAS,147.100,0.6,123,,"Cougar Mtn, WA",FM,Steve N9VW's repeater system,https://www.qrz.com/db/n9vw,,47.541389,-122.10916
46,W7PIG,147.360,0.6,127.3,,"Camano Island, WA",FM,Stanwood-Camano Amateur Radio Club,https://www.scarcwa.org/,,48.22619,-122.5019
47,W7PIG,223.880,-1.6,103.5,,"Camano Island, WA",FM,Stanwood-Camano Amateur Radio Club,https://www.scarcwa.org/,,48.2247,-122.4989
48,W7PIG,441.050,5.0,127.3,,"Camano Island, WA",FM,Stanwood-Camano Amateur Radio Club,https://www.scarcwa.org/,,48.08,-122.3775
49,WA7TBP,223.960,-1.6,123,,"Carnation, WA",FM,Tom WA7TBP's repeater system,https://www.qrz.com/db/WA7TBP/,,47.62993,-121.95008
50,W7AUX,224.020,-1.6,103.5,,"Shoreline, WA",FM,Shoreline ACS,https://sites.google.com/a/w7aux.org/shoreline-acs/,,47.76,-122.35
51,W7AUX,440.300,5.0,103.5,,"Shoreline, WA",FM,Shoreline ACS,https://sites.google.com/a/w7aux.org/shoreline-acs/,,47.75619,-122.34575
52,W7AUX,442.825,5.0,103.5,,"Shoreline, WA",FM,Shoreline ACS,http://shorelineacs.org,,47.768,-122.3531
53,W7AUX,927.638,-25.0,114.8,,"Shoreline, WA",FM,Shoreline ACS,http://shorelineacs.org,,47.75619,-122.34575
54,K7CH,444.450,5.0,100,,"Baw Faw Peak, WA",FM,Carl K7CH's repeater system,https://www.qrz.com/db/k7ch,,46.4882,-123.2148
55,K7LED,146.820,-0.6,103.5,,"Tiger Mtn East, WA",FM,Mike & Key Amateur Radio Club,https://www.mikeandkey.org/,,47.48805,-121.94694
56,K7LED,224.120,-1.6,103.5,,"Tiger Mtn East, WA",FM,Mike & Key Amateur Radio Club,https://www.mikeandkey.org/,,47.48805,-121.94694
57,W7AW,53.290,-1.7,100,,West Seattle,FM,West Seattle Amateur Radio Club,https://w7aw.org/,,47.5405,-122.3777
58,W7AW,145.130,-0.6,103.5,14858,West Seattle,FM,West Seattle Amateur Radio Club,https://w7aw.org/,53,47.540412,-122.378271
59,W7AW,441.800,5.0,141.3,,West Seattle,FM,West Seattle Amateur Radio Club,https://w7aw.org/,,47.5405,-122.3777
60,N7GDE,145.190,-0.6,127.3,,"Lyman Mtn, WA",FM,Radio Amateurs of Skagit County,http://rasconline.com/,,48.594746,-122.15942
61,N7SK,146.720,-0.6,103.5,,"Shelton, WA",FM,Mason County Amateur Radio Club,https://mc-arc.org/,,47.2072,-123.1183
62,N7SK,443.250,5.0,100,,"Shelton, WA",FM,Mason County Amateur Radio Club,https://mc-arc.org/,,47.2072,-123.1183
63,N7SK,927.413,-25.0,114.8,,"Shelton, WA",FM,Mason County ARC,http://mc-arc.org,,47.2072,-123.1183
64,WA7LAW,147.180,0.6,103.5,,"Everett, WA",FM,Snohomish County Hams Club,http://www.wa7law.org/,,47.998014,-122.19456
65,WA7LAW,444.575,5.0,103.5,,"Everett, WA",FM,Snohomish County Hams Club,http://www.wa7law.org/,,47.998014,-122.19456
66,K7PP,147.280,0.6,123,,"Mt Octopus, WA",FM,Peter Policani's K7PP repeater system,https://www.k7pp.itgo.com,,47.75,-124.17666
67,K7PP,441.200,5.0,123,,"Gold Mtn, WA",FM,Peter Policani's K7PP repeater system,https://www.k7pp.itgo.com,,47.549167,-122.78388
68,K7PP,441.300,5.0,123,,"Ko Peak, WA",FM,Peter Policani's K7PP repeater system,https://www.k7pp.itgo.com,,46.46143,-123.5462
69,K7PP,443.400,5.0,123,,"Cougar Mtn, WA",FM,Peter Policani's K7PP repeater system,https://www.k7pp.itgo.com,,47.5414,-122.1092
70,KC7Z,441.175,5.0,103.5,,"Gold Mtn, WA",NBFM,Kitsap County Amateur Radio Club,https://kcarc.org/,,47.54935,-122.78356
71,WA7MV,147.320,+0.6,100.0,206,Tunk Mtn.,FM,Methow Valley Amateur Radio Club,https://www.mvhams.net/,53,48.54570007,-119.23600006
72,WA7MV,146.720,-0.6,100.0,400,Benson Creek,FM,Methow Valley Amateur Radio Club,https://www.mvhams.net/,53,48.3634784,-120.122303
73,WA7MV,444.800,+5.0,110.9,646,Winthrop,FM,Methow Valley Amateur Radio Club,https://www.mvhams.net/,53,48.31760025,-120.11499786
74,K7LWH,145.490,-0.6,103.5,,Kirkland,FM,Lake Washington Ham Club,https://www.lakewashingtonhamclub.org/,,47.6637,-122.1665
75,K7LWH,224.360,-1.6,103.5,5326,Kirkland,FM,Lake Washington Ham Club,https://www.lakewashingtonhamclub.org/,53,47.6637,-122.1665
76,K7LWH,441.075,5.0,103.5,162,Kirkland,FM,Lake Washington Ham Club,https://www.lakewashingtonhamclub.org/,53,47.6637,-122.1665
77,K7LWH,444.600,5.0,103.5,,"Bellevue, WA",FM,Lake WA Ham Club,http://www.lakewashingtonhamclub.org,,47.61722,-122.20111
78,K7LWH,53.170,-1.7,100,165,Kirkland,FM,Lake Washington Ham Club,https://www.lakewashingtonhamclub.org/,53,47.6637,-122.1665
79,WR7VHF,146.880,-0.6,123.0,283,Spokane,FM,Inland Empire VHF Radio Amateurs,https://www.vhfclub.org/,53,47.57889938,-117.29599762
80,WR7VHF,147.340,+0.6,123.0,290,Spokane,FM,Inland Empire VHF Radio Amateurs,https://www.vhfclub.org/,53,47.65879822,-117.4260025
81,WR7VHF,444.600,+5.0,123.0,17283,Spokane,FM,Inland Empire VHF Radio Amateurs,https://www.vhfclub.org/,53,47.91939926,-117.11399841
82,K7JEP,145.490,-0.6,136.5,43,"Hoodoo Mtn, ID",FM,Bonner County Amateur Radio Club,https://k7jep.org,16,48.0788002,-116.95400238
83,K7JEP,444.550,+5.0,,23257,"Blanchard, ID",FM,Bonner County Amateur Radio Club,https://k7jep.org,16,48.0168468,-116.9838096
84,K7RHT,147.000,+0.6,131.8,17116,Table Mtn.,FM,K7RHT,https://www.qrz.com/db/K7RHT,53,47.15230179,-120.56400299
85,K7RHT,444.450,+5.0,131.8,17115,Table Mtn.,FM,K7RHT,https://www.qrz.com/db/K7RHT,53,47.15230179,-120.56400299
86,KC7VQR,147.240,+0.6,192.8,181,Yakima Canyon,FM,N7YRC Group,https://www.qrz.com/db/KC7VQR,53,46.65399933,-120.52999878
87,W6TQF,440.325,+5.0,100.0,18543,"Augspurger Mtn, WA",FM,Skamania County ARES,https://skamania-prepare.org/ares/,53,45.74150848,-121.68618774
88,KB7APU,145.250,-0.6,186.2,16535,Red Mountain,FM,Skamania County ARES,https://skamania-prepare.org/ares/,53,45.93479919,-121.81999969
89,N7MHE,145.350,-0.6,100.0,390,"Saddle Mtn, WA",FM,Craig Morrison's N7MHE repeater,https://www.qrz.com/db/N7MHE,53,46.81000137,-119.88200378
90,K7SWI,224.940,-1.6,100.0,21198,"Squaw Butte, ID",FM,South West Idaho Amateur Radio Club,https://www.k7swi.org/,16,43.9760521,-116.4074505
91,K7SWI,444.375,+5.0,100.0,21386,"Squaw Butte, ID",FM,South West Idaho Amateur Radio Club,https://www.k7swi.org/,16,43.9761,-116.4077
92,N7UBO,146.740,-0.6,100.0,19067,"Squaw Butte, ID",FM,South West Idaho Amateur Radio Club,https://www.k7swi.org/,16,43.97606,-116.40751
93,KI7PWR,146.920,-0.6,100.0,21717,"Hat Butte, ID",FM,South West Idaho Amateur Radio Club,https://www.k7swi.org/,16,43.410919,-116.589569
94,NE7MC,442.000,5.0,141.3,19962,Kenmore,FM,Northshore Emergency Management Coalition,https://www.northshoreemc.com/,53,47.737677,-122.23079
95,NM7E,145.170,-0.6,103.5,,"Belfair, WA",FM,North Mason Amateur Radio Emergency Service Club,https://nmaresc.wordpress.com/,,47.38661,-122.86099
96,NM7E,224.260,-1.6,103.5,,"Belfair, WA",FM,North Mason Amateur Radio Emergency Service Club,https://nmaresc.wordpress.com/,,47.3866,-122.86099
97,W7ACS,440.525,5.0,141.3,,Seattle,FM,Seattle Auxiliary Commonications Service,https://www.seattleacs.org/home,,47.58878,-122.31765
98,W7ACS,440.600,5.0,141.3,,Lake Forest Park,FM,Seattle Auxiliary Communications Service,https://www.seattleacs.org/,,47.77193,-122.28099
99,W7ACS,442.300,5.0,141.3,,Seattle,FM,Seattle Auxiliary Communications Service,https://www.seattleacs.org/,,47.58878,-122.31765
100,W7ACS,442.875,5.0,141.3,,Seattle,FM,Seattle Auxiliary Communications Service,https://www.seattleacs.org/,,47.62378,-122.31542
101,W7ACS,443.025,5.0,141.3,,Seattle,FM,Seattle Auxiliary Commonications Service,https://www.seattleacs.org/home,,47.61901,-122.31247
102,W7ACS,443.200,5.0,141.3,,White Center,FM,Seattle Auxiliary Communications Service,https://www.seattleacs.org/,,47.52075,-122.34341
103,W7ACS,443.475,5.0,141.3,,Seattle,FM,Seattle Auxiliary Communications Service,https://www.seattleacs.org/,,47.65073,-122.39258
104,W7ACS,443.650,5.0,141.3,,North Seattle,FM,Seattle Auxiliary Communications Service,https://www.seattleacs.org/,,47.6909,-122.31963
105,W7ACS,444.550,5.0,141.3,,Seattle,FM,Seattle Auxiliary Communications Service,https://www.seattleacs.org/,,47.604722,-122.33055
