RR#,Group,Callsign,Location,Mode,Output (MHz),Offset (MHz),Tone (Hz),Echolink,Allstar
92,N7OEP,N7OEP,Baldi Mtn.,FM,53.33,-1.7,100,,
93,N7OEP,N7OEP,Enumclaw,FM,440.075,5,103.5,,
94,N7OEP,N7OEP,Enumclaw,FM,443.175,5,107.2,,
95,Newcastle DMR,W7RNK,Cougar Mtn.,DSTAR,147.995,-0.6,,,
96,West Seattle,W7AW,West Seattle,FM,53.29,-1.7,100,,56575
97,West Seattle,W7AW,West Seattle,FM,145.13,-0.6,103.5,,56575
98,West Seattle,W7AW,West Seattle,DMR1,440.975,5,CC2/TS2 Seattle2 TG/813153,, 
99,West Seattle,W7AW,West Seattle,FM,441.8,5,141.3,W7AW-R,56575
100,SJCARS,N7JN,San Juan Isl.,FM,146.7,-0.6,131.8,,
101,SJCARS,N7JN,Friday Harbor,DSTAR,145.25,-0.6,,,
102,SJCARS,N7JN,Friday Harbor,DSTAR,442.4625,5,,,
103,SCARC,W7PIG,Camano Isl.,FM,147.36,0.6,127.3,,
104,SCARC,W7PIG,Camano Isl.,FM,441.05,5,103.5,,
105,GHARC,W7ZA,Aberdeen,FM,147.16,0.6,88.5,,
106,GHARC,W7ZA,Neilton Peak,FM,146.9,-0.6,88.5,,
107,CPRG,K7CPR,Capitol Peak,FM,145.47,-0.6,100,K7CPR-R,
108,Whatcom ECG,W7ECG,Lookout Mtn.,DSTAR,146.45,1,,,
109,Whatcom ECG,W7ECG,Lookout Mtn.,FM,224.16,-1.6,156.7,,
110,Whatcom ECG,W7ECG,Lookout Mtn.,DSTAR,440.475,5,,,
111,Whatcom ECG,W7ECG,Ferndale,DMR1,440.7375,5,CC1/TS1 WA ARES TG/31538,,
112,Whatcom ECG,W7ECG,Lookout Mtn.,FM,442.25,5,156.7,,
113,Whatcom ECG,W7ECG,Ferndale,FM,442.825,5,156.7,,
114,Whatcom ECG,W7BFD,Sehome Hill,FM,442.3,5,88.5,,
115,Snohomish ACS,WA7DEM,Lynnwood,FM,146.78,-0.6,D1722,,
116,Snohomish ACS,WA7DEM,Marysville,FM,224.38,-1.6,103.5,,
117,Snohomish ACS,WA7DEM,Clearview,FM,442.975,5,D1722,,
118,Snohomish ACS,WA7DEM,Mountlake Terrace,FM,443.725,5,103.5,,
119,Snohomish ACS,WA7DEM,Granite Falls,FM,146.92,-0.6,123,,
120,Snohomish ACS,WA7DEM,Edmonds,NBFM3,444.025,5,156.7,,
121,Snohomish ACS,WA7DEM,Darrington,FM,444.3,5,103.5,,
122,Snohomish ACS,K7MLR,Marysville,FM,444.2,5,D1722,,
123,MVARC,KF7NPL,Maple Valley,FM,147.26,0.6,103.5,,
124,MVARC,KF7NPL,Maple Valley,DSTAR,442.675,5,,,
